project,cwes,count,category
gitlab,CWE-23,1,Path & File Traversal
gitlab,CWE-1023,1,Broken Business Logic
gitlab,CWE-1289,1,Injection & Input Handling
gitlab,CWE-1288,1,Injection & Input Handling
gitlab,CWE-841,1,Broken Business Logic
gitlab,CWE-821,1,Broken Business Logic
gitlab,CWE-540,1,Information Exposure
gitlab,CWE-565,1,Miscellaneous & Unmapped
gitlab,CWE-404,1,Resource & Memory Mgmt.
gitlab,CWE-345,1,Broken Business Logic
gitlab,CWE-829,1,Broken Business Logic
gitlab,CWE-789,1,Resource & Memory Mgmt.
gitlab,CWE-787,1,Resource & Memory Mgmt.
gitlab,CWE-772,1,Resource & Memory Mgmt.
gitlab,CWE-642,1,Broken Business Logic
gitlab,CWE-377,1,Path & File Traversal
gitlab,CWE-409,1,Resource & Memory Mgmt.
gitlab,CWE-424,1,Broken Business Logic
gitlab,CWE-441,1,Broken Business Logic
gitlab,CWE-436,1,Broken Business Logic
gitlab,CWE-471,1,Broken Business Logic
gitlab,CWE-538,1,Information Exposure
jenkins,CWE-1021,1,Configuration & UI
jenkins,CWE-117,1,Injection & Input Handling
jenkins,CWE-345,1,Broken Business Logic
jenkins,CWE-330,1,Cryptography
jenkins,CWE-326,1,Cryptography
jenkins,CWE-319,1,Cryptography
jenkins,CWE-310,1,Cryptography
jenkins,CWE-27,1,Path & File Traversal
jenkins,CWE-284,1,Identity & Access Management
jenkins,CWE-295,1,Cryptography
jenkins,CWE-184,1,Injection & Input Handling
jenkins,CWE-17,1,Configuration & UI
gitlab,CWE-99,1,Injection & Input Handling
gitlab,CWE-922,1,Information Exposure
jenkins,CWE-367,1,Broken Business Logic
jenkins,CWE-377,1,Path & File Traversal
jenkins,CWE-350,1,Broken Business Logic
jenkins,CWE-362,1,Broken Business Logic
jenkins,CWE-613,1,Identity & Access Management
jenkins,CWE-601,1,Configuration & UI
jenkins,CWE-532,1,Information Exposure
jenkins,CWE-434,1,Broken Business Logic
jenkins,CWE-400,1,Resource & Memory Mgmt.
jenkins,CWE-404,1,Resource & Memory Mgmt.
jenkins,CWE-384,1,Identity & Access Management
jenkins,CWE-399,1,Miscellaneous & Unmapped
jenkins,CWE-772,1,Resource & Memory Mgmt.
jenkins,CWE-78,1,Injection & Input Handling
jenkins,CWE-74,1,Injection & Input Handling
jenkins,CWE-732,1,Identity & Access Management
jenkins,CWE-90,1,Miscellaneous & Unmapped
jenkins,CWE-843,1,Broken Business Logic
jenkins,CWE-94,1,Injection & Input Handling
jenkins,CWE-918,1,Broken Business Logic
